collected_at_utc,collected_at_tehran,source,symbol,fund_name,ins_code,last_price,closing_price,yesterday_price,price_change,price_change_percent,nav_subscription,nav_redemption
2026-08-16T11:58:51.889541+00:00,2026-08-16T15:28:51.889541+03:30,TGJU,زرفام,صندوق طلای زرفام,,139450,,139116,334,0.24,,
2026-08-16T11:58:51.889541+00:00,2026-08-16T15:28:51.889541+03:30,TGJU,زرگر,صندوق طلای زرگر,,19227,,19166,61,0.32,,
2026-08-16T11:58:51.889541+00:00,2026-08-16T15:28:51.889541+03:30,TGJU,زروان,صندوق طلای زروان,,38150,,38002,148,0.39,,
2026-08-16T11:58:51.889541+00:00,2026-08-16T15:28:51.889541+03:30,TGJU,زمرد,صندوق طلای زمرد,,26267,,26199,68,0.26,,
2026-08-16T11:58:51.889541+00:00,2026-08-16T15:28:51.889541+03:30,TGJU,عیار,صندوق طلای عیار,,525079,,522831,2248,0.43,,
2026-08-16T11:58:51.889541+00:00,2026-08-16T15:28:51.889541+03:30,TGJU,قیراط,صندوق طلای قیراط,,33665,,33531,134,0.4,,
2026-08-16T11:58:51.889541+00:00,2026-08-16T15:28:51.889541+03:30,TGJU,کهربا,صندوق طلای کهربا,,182790,,182225,565,0.31,,
2026-08-16T11:58:51.889541+00:00,2026-08-16T15:28:51.889541+03:30,TGJU,گلدا,صندوق طلای گلدا,,17170,,17076,94,0.55,,
2026-08-16T11:58:51.889541+00:00,2026-08-16T15:28:51.889541+03:30,TGJU,گلدیس,صندوق طلای گلدیس,,37019,,36791,228,0.62,,
2026-08-16T11:58:51.889541+00:00,2026-08-16T15:28:51.889541+03:30,TGJU,گنج,صندوق طلای گنج,,163700,,163194,506,0.31,,
2026-08-16T11:58:51.889541+00:00,2026-08-16T15:28:51.889541+03:30,TGJU,گوهر,صندوق طلای گوهر,,906310,,904140,2170,0.24,,
2026-08-16T11:58:51.889541+00:00,2026-08-16T15:28:51.889541+03:30,TGJU,لوتوس,صندوق طلای لوتوس,,1349706,,1345535,4171,0.31,,
2026-08-16T11:58:51.889541+00:00,2026-08-16T15:28:51.889541+03:30,TGJU,لیان,صندوق طلای لیان,,34710,,34520,190,0.55,,
2026-08-16T11:58:51.889541+00:00,2026-08-16T15:28:51.889541+03:30,TGJU,مثقال,صندوق طلای مثقال,,152737,,152083,654,0.43,,
2026-08-16T11:58:51.889541+00:00,2026-08-16T15:28:51.889541+03:30,TGJU,ناب,صندوق طلای ناب,,64472,,64298,174,0.27,,
2026-08-16T11:58:51.889541+00:00,2026-08-16T15:28:51.889541+03:30,TGJU,نفیس,صندوق طلای نفیس,,110104,,109873,231,0.21,,
2026-08-16T11:58:51.889541+00:00,2026-08-16T15:28:51.889541+03:30,TGJU,نگین فارس,صندوق طلای نگین فارس,,14533,,14471,62,0.43,,
2026-08-16T11:58:51.889541+00:00,2026-08-16T15:28:51.889541+03:30,TGJU,همیان,صندوق طلای همیان,,16588,,16527,61,0.37,,
2026-08-16T11:58:51.889541+00:00,2026-08-16T15:28:51.889541+03:30,TGJU,میراث,صندوق طلای میراث,,11224,,11131,93,0.84,,
2026-08-16T11:58:51.889541+00:00,2026-08-16T15:28:51.889541+03:30,TGJU,نهال,صندوق طلای نهال,,64602,,64537,65,0.1,,
2026-08-16T11:58:51.889541+00:00,2026-08-16T15:28:51.889541+03:30,TGJU,سافرون,صندوق طلای سافرون,,66210,,65360,850,1.3,,
2026-08-16T15:59:57.370704+00:00,2026-08-16T19:29:57.370704+03:30,TGJU,آتش,صندوق طلای آتش,,33700,,33423,277,0.83,,
2026-08-16T15:59:57.370704+00:00,2026-08-16T19:29:57.370704+03:30,TGJU,آلتون,صندوق طلای آلتون,,60020,,59674,346,0.58,,
2026-08-16T15:59:57.370704+00:00,2026-08-16T19:29:57.370704+03:30,TGJU,امرالد,صندوق طلای امرالد,,25268,,25117,151,0.6,,
2026-08-16T15:59:57.370704+00:00,2026-08-16T19:29:57.370704+03:30,TGJU,تابش,صندوق طلای تابش,,76200,,76192,8,0.01,,
2026-08-16T15:59:57.370704+00:00,2026-08-16T19:29:57.370704+03:30,TGJU,جام طلا,صندوق طلای جام طلا,,17025,,16950,75,0.44,,
2026-08-16T15:59:57.370704+00:00,2026-08-16T19:29:57.370704+03:30,TGJU,جواهر,صندوق طلای جواهر,,70690,,70359,331,0.47,,
2026-08-16T15:59:57.370704+00:00,2026-08-16T19:29:57.370704+03:30,TGJU,درخشان,صندوق طلای درخشان,,34090,,33880,210,0.62,,
2026-08-16T15:59:57.370704+00:00,2026-08-16T19:29:57.370704+03:30,TGJU,درنا,صندوق طلای درنا,,21490,,21381,109,0.51,,
2026-08-16T15:59:57.370704+00:00,2026-08-16T19:29:57.370704+03:30,TGJU,رز ترنج,صندوق طلای رز ترنج,,23392,,23343,49,0.21,,
2026-08-16T15:59:57.370704+00:00,2026-08-16T19:29:57.370704+03:30,TGJU,رزگلد,صندوق طلای رزگلد,,17589,,17472,117,0.67,,
2026-08-16T15:59:57.370704+00:00,2026-08-16T19:29:57.370704+03:30,TGJU,ریتون,صندوق طلای ریتون,,18130,,18011,119,0.66,,
2026-08-16T15:59:57.370704+00:00,2026-08-16T19:29:57.370704+03:30,TGJU,زر,صندوق طلای زر,,808577,,806641,1936,0.24,,
2026-08-16T15:59:57.370704+00:00,2026-08-16T19:29:57.370704+03:30,TGJU,زرفام,صندوق طلای زرفام,,139793,,139779,14,0.01,,
2026-08-16T15:59:57.370704+00:00,2026-08-16T19:29:57.370704+03:30,TGJU,زرگر,صندوق طلای زرگر,,19205,,19121,84,0.44,,
2026-08-16T15:59:57.370704+00:00,2026-08-16T19:29:57.370704+03:30,TGJU,زروان,صندوق طلای زروان,,38198,,38095,103,0.27,,
2026-08-16T15:59:57.370704+00:00,2026-08-16T19:29:57.370704+03:30,TGJU,زمرد,صندوق طلای زمرد,,26265,,26194,71,0.27,,
2026-08-16T15:59:57.370704+00:00,2026-08-16T19:29:57.370704+03:30,TGJU,عیار,صندوق طلای عیار,,525150,,523006,2144,0.41,,
2026-08-16T15:59:57.370704+00:00,2026-08-16T19:29:57.370704+03:30,TGJU,قیراط,صندوق طلای قیراط,,33646,,33492,154,0.46,,
2026-08-16T15:59:57.370704+00:00,2026-08-16T19:29:57.370704+03:30,TGJU,کهربا,صندوق طلای کهربا,,182215,,181092,1123,0.62,,
2026-08-16T15:59:57.370704+00:00,2026-08-16T19:29:57.370704+03:30,TGJU,گلدا,صندوق طلای گلدا,,17182,,17100,82,0.48,,
2026-08-16T15:59:57.370704+00:00,2026-08-16T19:29:57.370704+03:30,TGJU,گلدیس,صندوق طلای گلدیس,,36950,,36653,297,0.81,,
2026-08-16T15:59:57.370704+00:00,2026-08-16T19:29:57.370704+03:30,TGJU,گنج,صندوق طلای گنج,,163470,,162738,732,0.45,,
2026-08-16T15:59:57.370704+00:00,2026-08-16T19:29:57.370704+03:30,TGJU,گوهر,صندوق طلای گوهر,,904676,,900892,3784,0.42,,
2026-08-16T15:59:57.370704+00:00,2026-08-16T19:29:57.370704+03:30,TGJU,لوتوس,صندوق طلای لوتوس,,1348496,,1343124,5372,0.4,,
2026-08-16T15:59:57.370704+00:00,2026-08-16T19:29:57.370704+03:30,TGJU,لیان,صندوق طلای لیان,,34757,,34615,142,0.41,,
2026-08-16T15:59:57.370704+00:00,2026-08-16T19:29:57.370704+03:30,TGJU,مثقال,صندوق طلای مثقال,,152628,,151869,759,0.5,,
2026-08-16T15:59:57.370704+00:00,2026-08-16T19:29:57.370704+03:30,TGJU,ناب,صندوق طلای ناب,,64300,,63955,345,0.54,,
2026-08-16T15:59:57.370704+00:00,2026-08-16T19:29:57.370704+03:30,TGJU,نفیس,صندوق طلای نفیس,,109988,,109648,340,0.31,,
2026-08-16T15:59:57.370704+00:00,2026-08-16T19:29:57.370704+03:30,TGJU,نگین فارس,صندوق طلای نگین فارس,,14516,,14438,78,0.54,,
2026-08-16T15:59:57.370704+00:00,2026-08-16T19:29:57.370704+03:30,TGJU,همیان,صندوق طلای همیان,,16542,,16435,107,0.65,,
2026-08-16T15:59:57.370704+00:00,2026-08-16T19:29:57.370704+03:30,TGJU,میراث,صندوق طلای میراث,,11220,,11123,97,0.87,,
2026-08-16T15:59:57.370704+00:00,2026-08-16T19:29:57.370704+03:30,TGJU,نهال,صندوق طلای نهال,,65199,,64541,658,1.02,,
2026-08-16T15:59:57.370704+00:00,2026-08-16T19:29:57.370704+03:30,TGJU,سافرون,صندوق طلای سافرون,,66940,,65365,1575,2.41,,
